Search string                    Error Message
H<space><hrt>                    E / SPACE + HRT found! Please verify.
I<space><hrt>                    E / SPACE + HRT found! Please verify.
J<space><hrt>                    E / SPACE + HRT found! Please verify.
K<space><hrt>                    E / SPACE + HRT found! Please verify.
L<space><hrt>                    E / SPACE + HRT found! Please verify.
M<space><hrt>                    E / SPACE + HRT found! Please verify.
N<space><hrt>                    E / SPACE + HRT found! Please verify.
O<space><hrt>                    E / SPACE + HRT found! Please verify.
P<space><hrt>                    E / SPACE + HRT found! Please verify.
Q<space><hrt>                    E / SPACE + HRT found! Please verify.
R<space><hrt>                    E / SPACE + HRT found! Please verify.
S<space><hrt>                    E / SPACE + HRT found! Please verify.
T<space><hrt>                    E / SPACE + HRT found! Please verify.
U<space><hrt>                    E / SPACE + HRT found! Please verify.
V<space><hrt>                    E / SPACE + HRT found! Please verify.
W<space><hrt>                    E / SPACE + HRT found! Please verify.
X<space><hrt>                    E / SPACE + HRT found! Please verify.
Y<space><hrt>                    E / SPACE + HRT found! Please verify.
Z<space><hrt>                    E / SPACE + HRT found! Please verify.
<space><hrt>                     E / SPACE + HRT found! Please verify.
&amp;cacute;                     E / Do not convert ampersand on conversion
&amp;itilde;                     E / Do not convert ampersand on conversion
&amp;Lstrok;                     E / Do not convert ampersand on conversion
&amp;nacute;                     E / Do not convert ampersand on conversion
&amp;Sacute;                     E / Do not convert ampersand on conversion
&amp;sacute;                     E / Do not convert ampersand on conversion
&amp;Agrave;                     E / Do not convert ampersand on conversion
&amp;Aacute;                     E / Do not convert ampersand on conversion
&amp;Acirc;                      E / Do not convert ampersand on conversion
&amp;Atilde;                     E / Do not convert ampersand on conversion
&amp;Auml;                       E / Do not convert ampersand on conversion
&amp;Aring;                      E / Do not convert ampersand on conversion
&amp;AElig;                      E / Do not convert ampersand on conversion
&amp;Ccedil;                     E / Do not convert ampersand on conversion
&amp;Egrave;                     E / Do not convert ampersand on conversion
&amp;Eacute;                     E / Do not convert ampersand on conversion
&amp;Ecirc;                      E / Do not convert ampersand on conversion
&amp;Euml;                       E / Do not convert ampersand on conversion
&amp;Igrave;                     E / Do not convert ampersand on conversion
&amp;Iacute;                     E / Do not convert ampersand on conversion
&amp;Icirc;                      E / Do not convert ampersand on conversion
&amp;Iuml;                       E / Do not convert ampersand on conversion
&amp;ETH;                        E / Do not convert ampersand on conversion
&amp;Ntilde;                     E / Do not convert ampersand on conversion
&amp;Ograve;                     E / Do not convert ampersand on conversion
&amp;Oacute;                     E / Do not convert ampersand on conversion
&amp;Ocirc;                      E / Do not convert ampersand on conversion
&amp;Otilde;                     E / Do not convert ampersand on conversion
&amp;Ouml;                       E / Do not convert ampersand on conversion
&amp;Oslash;                     E / Do not convert ampersand on conversion
&amp;Ugrave;                     E / Do not convert ampersand on conversion
&amp;Uacute;                     E / Do not convert ampersand on conversion
&amp;Ucirc;                      E / Do not convert ampersand on conversion
&amp;Uuml;                       E / Do not convert ampersand on conversion
&amp;Yacute;                     E / Do not convert ampersand on conversion
&amp;THORN;                      E / Do not convert ampersand on conversion
&amp;szlig;                      E / Do not convert ampersand on conversion
&amp;agrave;                     E / Do not convert ampersand on conversion
&amp;aacute;                     E / Do not convert ampersand on conversion
&amp;acirc;                      E / Do not convert ampersand on conversion
&amp;atilde;                     E / Do not convert ampersand on conversion
&amp;auml;                       E / Do not convert ampersand on conversion
&amp;aring;                      E / Do not convert ampersand on conversion
&amp;aelig;                      E / Do not convert ampersand on conversion
&amp;ccedil;                     E / Do not convert ampersand on conversion
&amp;egrave;                     E / Do not convert ampersand on conversion
&amp;eacute;                     E / Do not convert ampersand on conversion
&amp;ecirc;                      E / Do not convert ampersand on conversion
&amp;euml;                       E / Do not convert ampersand on conversion
&amp;igrave;                     E / Do not convert ampersand on conversion
&amp;iacute;                     E / Do not convert ampersand on conversion
&amp;icirc;                      E / Do not convert ampersand on conversion
&amp;iuml;                       E / Do not convert ampersand on conversion
&amp;eth;                        E / Do not convert ampersand on conversion
&amp;ntilde;                     E / Do not convert ampersand on conversion
&amp;ograve;                     E / Do not convert ampersand on conversion
&amp;oacute;                     E / Do not convert ampersand on conversion
&amp;ocirc;                      E / Do not convert ampersand on conversion
&amp;otilde;                     E / Do not convert ampersand on conversion
&amp;ouml;                       E / Do not convert ampersand on conversion
&amp;oslash;                     E / Do not convert ampersand on conversion
&amp;ugrave;                     E / Do not convert ampersand on conversion
&amp;uacute;                     E / Do not convert ampersand on conversion
&amp;ucirc;                      E / Do not convert ampersand on conversion
&amp;uuml;                       E / Do not convert ampersand on conversion
&amp;yacute;                     E / Do not convert ampersand on conversion
&amp;thorn;                      E / Do not convert ampersand on conversion
&amp;yuml;                       E / Do not convert ampersand on conversion
&amp;sacute;                     E / Do not convert ampersand on conversion
&amp;Sacute;                     E / Do not convert ampersand on conversion
&amp;nacute;                     E / Do not convert ampersand on conversion
&amp;cacute;                     E / Do not convert ampersand on conversion
&amp;Lstrok;                     E / Do not convert ampersand on conversion
&amp;abreve;                     E / Do not convert ampersand on conversion
&amp;Abreve;                     E / Do not convert ampersand on conversion
&amp;amacr;                      E / Do not convert ampersand on conversion
&amp;Amacr;                      E / Do not convert ampersand on conversion
&amp;aogon;                      E / Do not convert ampersand on conversion
&amp;Aogon;                      E / Do not convert ampersand on conversion
&amp;Cacute;                     E / Do not convert ampersand on conversion
&amp;ccaron;                     E / Do not convert ampersand on conversion
